Source,Target,Type,Weight
67,211,Undirected,37
67,6346,Undirected,24
67,4960,Undirected,23
67,5863,Undirected,17
67,4872,Undirected,16
67,5090,Undirected,13
67,2611,Undirected,12
67,1468,Undirected,12
67,3808,Undirected,11
67,1942,Undirected,10
67,830,Undirected,10
67,1646,Undirected,10
67,5878,Undirected,9
67,2149,Undirected,9
67,5494,Undirected,8
67,5261,Undirected,7
67,2786,Undirected,7
67,3560,Undirected,7
849,1646,Undirected,10
849,5638,Undirected,9
849,4593,Undirected,8
849,1138,Undirected,6
849,1896,Undirected,5
849,5560,Undirected,5
849,4990,Undirected,4
849,2632,Undirected,4
849,2319,Undirected,4
849,2074,Undirected,3
849,4050,Undirected,3
849,5880,Undirected,3
849,3320,Undirected,3
849,2038,Undirected,3
849,2338,Undirected,3
849,950,Undirected,2
849,6419,Undirected,2
849,3308,Undirected,2
849,3376,Undirected,2
849,4824,Undirected,2
606,3328,Undirected,94
606,1141,Undirected,19
606,972,Undirected,18
606,3978,Undirected,18
606,184,Undirected,15
606,5628,Undirected,14
606,2681,Undirected,14
606,4634,Undirected,10
606,1646,Undirected,10
606,839,Undirected,10
606,1534,Undirected,9
606,3449,Undirected,8
606,3758,Undirected,8
606,747,Undirected,8
606,295,Undirected,8
606,2109,Undirected,7
606,6473,Undirected,7
606,1895,Undirected,7
606,424,Undirected,7
606,6111,Undirected,7
295,5383,Undirected,38
295,5762,Undirected,16
295,3208,Undirected,11
295,606,Undirected,8
295,1646,Undirected,7
295,3376,Undirected,7
295,4349,Undirected,7
295,2045,Undirected,6
295,5969,Undirected,5
295,6244,Undirected,5
295,685,Undirected,5
295,1895,Undirected,5
295,3180,Undirected,4
295,4975,Undirected,4
295,4963,Undirected,4
295,5041,Undirected,4
295,661,Undirected,4
295,1528,Undirected,4
295,3865,Undirected,4
295,653,Undirected,4
4069,2010,Undirected,86
4069,869,Undirected,83
4069,1301,Undirected,31
4069,6496,Undirected,28
4069,1779,Undirected,15
4069,5549,Undirected,15
4069,6211,Undirected,14
4069,3351,Undirected,13
4069,3683,Undirected,13
4069,4077,Undirected,11
4069,3589,Undirected,8
4069,1857,Undirected,7
4069,1646,Undirected,6
4069,3909,Undirected,6
4069,3424,Undirected,6
4069,1060,Undirected,6
4069,4490,Undirected,6
4069,474,Undirected,5
4069,3357,Undirected,5
4069,4469,Undirected,5
280,2595,Undirected,97
280,3246,Undirected,24
280,3974,Undirected,23
280,3003,Undirected,14
280,4094,Undirected,9
280,4006,Undirected,8
280,2122,Undirected,7
280,5261,Undirected,6
280,1413,Undirected,6
280,2540,Undirected,6
280,5572,Undirected,6
280,1646,Undirected,6
280,3424,Undirected,6
280,5494,Undirected,6
280,3909,Undirected,5
280,1555,Undirected,5
280,532,Undirected,5
280,67,Undirected,5
280,5879,Undirected,4
280,930,Undirected,4
664,446,Undirected,22
664,5434,Undirected,10
664,3913,Undirected,10
664,4099,Undirected,10
664,3148,Undirected,9
664,177,Undirected,9
664,4572,Undirected,9
664,1254,Undirected,8
664,5261,Undirected,7
664,2780,Undirected,7
664,982,Undirected,7
664,3734,Undirected,6
664,3909,Undirected,6
664,1646,Undirected,6
664,4308,Undirected,5
664,3758,Undirected,5
664,3683,Undirected,5
664,6366,Undirected,5
664,5863,Undirected,5
664,6229,Undirected,5
446,3828,Undirected,40
446,372,Undirected,26
446,664,Undirected,22
446,6479,Undirected,18
446,3814,Undirected,16
446,1574,Undirected,15
446,1138,Undirected,8
446,987,Undirected,8
446,5638,Undirected,7
446,5864,Undirected,7
446,2003,Undirected,6
446,1646,Undirected,6
446,1254,Undirected,6
446,4855,Undirected,6
446,5329,Undirected,5
446,250,Undirected,5
446,1706,Undirected,5
446,2331,Undirected,5
446,4740,Undirected,5
446,3909,Undirected,5
3449,13,Undirected,46
3449,1701,Undirected,16
3449,268,Undirected,15
3449,3799,Undirected,14
3449,5319,Undirected,13
3449,606,Undirected,8
3449,4005,Undirected,7
3449,1646,Undirected,6
3449,4144,Undirected,6
3449,6004,Undirected,5
3449,4525,Undirected,4
3449,2549,Undirected,3
3449,3978,Undirected,2
3449,5340,Undirected,2
3449,2632,Undirected,2
3449,2780,Undirected,2
3449,341,Undirected,2
3449,761,Undirected,2
3449,3828,Undirected,2
3449,4099,Undirected,2
1555,5558,Undirected,31
1555,2292,Undirected,23
1555,2429,Undirected,18
1555,3909,Undirected,16
1555,244,Undirected,11
1555,1141,Undirected,11
1555,3758,Undirected,9
1555,4077,Undirected,8
1555,1006,Undirected,7
1555,3424,Undirected,7
1555,4427,Undirected,7
1555,136,Undirected,7
1555,281,Undirected,7
1555,211,Undirected,6
1555,5832,Undirected,6
1555,983,Undirected,6
1555,4492,Undirected,6
1555,4308,Undirected,6
1555,1646,Undirected,6
1555,330,Undirected,6
6460,1624,Undirected,70
6460,2378,Undirected,53
6460,2586,Undirected,42
6460,4678,Undirected,36
6460,5674,Undirected,28
6460,5977,Undirected,23
6460,5692,Undirected,15
6460,4158,Undirected,14
6460,6441,Undirected,14
6460,668,Undirected,11
6460,4753,Undirected,11
6460,4386,Undirected,10
6460,2966,Undirected,9
6460,3468,Undirected,9
6460,2726,Undirected,9
6460,227,Undirected,8
6460,4528,Undirected,8
6460,5123,Undirected,8
6460,1172,Undirected,8
6460,146,Undirected,7
3182,464,Undirected,31
3182,361,Undirected,21
3182,4897,Undirected,15
3182,565,Undirected,11
3182,3498,Undirected,10
