id,map,result,playtime,roundsPlayed,roundsWon,roundsLost,roundsDisconnected,placement,score,kills,deaths,assists,damage,damageReceived,headshots,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,dealtLegshots,econRating,suicides,revived,firstBloods,firstDeaths,lastDeaths,survived,traded,kasted,kAST,flawless,thrifty,antiEco,totalThrifty,totalAntiEco,manAdvantage,manDisadvantage,aces,teamAces,clutches,clutchesLost,plants,defuses,kdRatio,scorePerRound,damagePerRound,headshotsPercentage,damageDelta,damageDeltaPerRound,rank,trnPerformanceScore,player
ac9727be-ba65-46ab-bb1a-a315979f08be,/Game/Maps/Pitt/Pitt,defeat,2189,22,9,13,0,5,5283,19,17,4,3218,2793,13,14.0,23.0,26.0,3.0,13,31,3,52,0,0,2,4,2,5,1,,64.0,0,0,,,,,,0,0,,2.0,1,0,1.1176470588235294,240.13636363636363,146.27272727272728,27.659574468085108,425,19.318181818181817,,540,finessed%23demon
9585eae6-a28b-4db6-80cb-8a067708e238,/Game/Maps/Duality/Duality,victory,1758,20,13,7,0,1,7500,29,11,0,4650,2093,21,12.0,25.0,24.0,2.0,22,31,0,113,0,1,5,2,1,9,2,,70.0,1,0,,,,,,0,1,1.0,1.0,0,1,2.6363636363636362,375.0,232.5,41.509433962264154,2557,127.85,,837,finessed%23demon
1ab81061-f401-4743-865b-34b5c05803e4,/Game/Maps/Triad/Triad,victory,2366,26,14,12,0,3,6211,22,16,6,3949,3282,15,11.0,38.0,21.0,4.0,19,30,4,52,0,0,6,0,3,10,1,,65.0,3,1,,,,,,0,0,,3.0,1,0,1.375,238.8846153846154,151.8846153846154,35.84905660377358,667,25.653846153846153,,611,finessed%23demon
57cfc1c2-bad2-4d52-be9f-764c30219c19,/Game/Maps/Canyon/Canyon,defeat,2178,21,8,13,8,10,2576,7,13,3,1780,2329,4,0.0,9.0,8.0,1.0,5,21,0,53,0,0,1,2,2,0,4,,33.0,0,0,,,,,,0,0,,2.0,0,0,0.5384615384615384,122.66666666666667,84.76190476190476,19.230769230769234,-549,-26.142857142857142,,171,finessed%23demon
6a1dbc4d-7b28-42a8-a88a-ed0a57ee3e57,/Game/Maps/Bonsai/Bonsai,victory,1839,19,13,6,1,1,5671,20,13,2,3286,2745,12,5.0,20.0,10.0,2.0,12,54,2,68,0,0,5,2,1,5,2,,84.0,1,0,,,,,,0,0,,2.0,0,0,1.5384615384615385,298.4736842105263,172.94736842105263,17.647058823529413,541,28.473684210526315,,883,finessed%23demon
37f855f1-880a-4651-ad0f-c449646426d1,/Game/Maps/Infinity/Infinity,defeat,1903,21,8,13,0,4,4777,18,15,3,3027,2902,15,20.0,4.0,4.0,1.0,16,15,1,63,0,1,2,1,5,6,5,,86.0,0,0,,,,,,0,0,2.0,4.0,2,0,1.2,227.47619047619048,144.14285714285714,50.0,125,5.9523809523809526,,671,finessed%23demon
2953da2e-6a6f-4948-a6db-27772b9ec1d5,/Game/Maps/Jam/Jam,defeat,2422,26,12,14,0,2,7270,27,17,4,4219,3245,12,12.0,32.0,24.0,4.0,12,58,3,59,0,0,5,1,4,9,2,,81.0,1,0,,,,,,0,1,1.0,4.0,0,0,1.588235294117647,279.61538461538464,162.26923076923077,16.43835616438356,974,37.46153846153846,,794,finessed%23demon
69ce9cd7-12f7-45df-80c5-6dead0a8b4a0,/Game/Maps/Pitt/Pitt,victory,1777,19,13,6,0,2,5950,23,12,6,3900,2353,17,23.0,9.0,23.0,3.0,18,33,1,76,0,0,1,0,1,7,2,,89.0,1,0,,,,,,0,0,,1.0,0,0,1.9166666666666667,313.1578947368421,205.26315789473685,34.61538461538461,1547,81.42105263157895,,970,finessed%23demon
7a1fe292-274a-42bb-b356-9991cc1e400b,/Game/Maps/Bonsai/Bonsai,victory,2123,24,13,11,0,5,4851,16,16,11,3497,3064,11,13.0,12.0,30.0,3.0,12,45,2,57,0,0,5,4,4,8,3,,71.0,1,0,,,,,,0,0,,4.0,2,0,1.0,202.125,145.70833333333334,20.33898305084746,433,18.041666666666668,,597,finessed%23demon
95406342-d253-42c8-9bd6-38db3add2af6,/Game/Maps/Triad/Triad,victory,1279,15,13,2,0,1,4828,17,8,5,2838,1600,9,11.0,23.0,15.0,2.0,12,47,12,81,0,0,4,0,0,7,3,,87.0,1,0,,,,,,0,0,,,0,0,2.125,321.8666666666667,189.2,16.901408450704224,1238,82.53333333333333,,969,finessed%23demon
